"Timestamp","By clicking ""Yes"" below, you confirm that:
1.You understand that your participation is voluntary.
2.You understand that you may stop the survey and quit at any time without giving a reason.
3.You consent to the anonymous use of your responses for research purposes.","What is your current academic position?","Which research area best describes your work?","How many peer-reviewed papers have you published in your career?","Is English your native language?","Have you served as a reviewer for top-tier conferences (e.g., USENIX Sec, CCS, S&P, CVPR, NeurIPS) in the last 3 years?","Which stage of paper writing do you find most time-consuming? (Select up to 2)","How do you typically search for related work?","Do you use AI-powered tools for research?","Which types of AI-powered tools do you use for research? (Select all that apply)","Do you use AI tools specifically for text polishing, grammar checking, or rephrasing?","Specifically regarding CITATIONS, how do you use AI tools? (Select all that apply)","When asking a General LLM (e.g., ChatGPT) to find references, how often do you encounter ""hallucinations"" (non-existent papers)?","If an AI tool provides a perfect-looking reference (Title, Author, Year, Venue all look correct), do you still verify it externally?","Have you ever cited a paper suggested by AI without reading the full text of that paper?","To what extent do you agree: ""AI tools have made it easier to generate 'Related Work' sections, but harder to ensure citation accuracy.""","What is your strategy when an AI tool generates a citation with a broken link or DOI?","When adding a citation to your paper, what is your primary source of metadata (title, year, venue)?","How often do you verify that a cited paper actually contains the claim you are attributing to it?","If you cannot find the full text of a paper (e.g., paywalled or offline), do you still cite it based on its abstract or title?","To what extent do you agree: ""There is pressure to include a high number of references to make the paper look more scholarly.""","Which stage of paper writing do you find most time-consuming? (Select up to 2)","How do you typically search for related work?","Do you use AI-powered tools for research?","Which types of AI-powered tools do you use for research? (Select all that apply)","Do you use AI tools specifically for text polishing, grammar checking, or rephrasing?","Specifically regarding CITATIONS, how do you use AI tools? (Select all that apply)","When asking a General LLM (e.g., ChatGPT) to find references, how often do you encounter ""hallucinations"" (non-existent papers)?","If an AI tool provides a perfect-looking reference (Title, Author, Year, Venue all look correct), do you still verify it externally?","Have you ever cited a paper suggested by AI without reading the full text of that paper?","To what extent do you agree: ""AI tools have made it easier to generate 'Related Work' sections, but harder to ensure citation accuracy.""","What is your strategy when an AI tool generates a citation with a broken link or DOI?","When adding a citation to your paper, what is your primary source of metadata (title, year, venue)?","How often do you verify that a cited paper actually contains the claim you are attributing to it?","If you cannot find the full text of a paper (e.g., paywalled or offline), do you still cite it based on its abstract or title?","To what extent do you agree: ""There is pressure to include a high number of references to make the paper look more scholarly.""","When reviewing a paper, do you explicitly check the Reference section?","What are you looking for when checking references? (Select all that apply)","Have you ever clicked on a DOI link in a submission's bibliography to verify the paper exists?","Have you ever suspected a submission contained fake or hallucinated references?","If you see a citation to a ""Preprint"" or ""ArXiv"" paper, do you verify if it has been published in a peer-reviewed venue?","How do you handle citations to non-English papers in a submission?","To what extent do you agree: ""The accuracy of the bibliography is as important as the accuracy of the experimental results.""","Do you believe the current peer review process is effective at catching metadata errors in references?","How serious of an issue do you consider ""hallucinated citations"" (non-existent papers) in the era of AI?","Who is primarily responsible for verifying the authenticity of cited references?","Should conferences deploy automated tools to check for broken DOIs or fake references upon submission?","To what extent do you agree: ""It is acceptable to cite a paper based on AI summarization without reading the original text.""","Have you ever copy-pasted a BibTeX entry from the internet without checking its content?","Have you ever seen a reference list where the author names were clearly scrambled or incorrect (e.g., order reversed)?","Have you ever seen a reference where the title existed but the venue/year was completely wrong?","Do you think it is acceptable to cite a ""Technical Report"" if a peer-reviewed version exists?","What is your reaction if you find one incorrect citation (e.g., wrong year) in a paper you are reviewing?","What is your reaction if you find multiple (e.g., >5) incorrect or fake citations?","If you encounter a suspicious or clearly fake reference in a published paper, do you report it?","To what extent do you agree: ""I meticulously verify every single field (volume, issue, page numbers) of every BibTeX entry I import, ensuring 100% accuracy before submission.""","Do you use tools like ""Semantic Scholar"" or ""ResearchRabbit"" to build your bibliography?","Any additional comments on the state of academic integrity and writing tools?"
"2026/01/07 3:37:19 PM GMT+8","Yes, I consent to participate.","Faculty (Professor/Lecturer)","Network Security","20+","No","Yes","","","","","","","","","","","","","","","","Literature Search & Review;Formatting References","Browsing conference proceedings","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for specific difficult paragraphs","Formatting: Converting references into specific formats (e.g., BibTeX)","Occasionally (<20%)","Yes, I verify 100% of them via Google Scholar/DBLP","No, never","Strongly agree","I assume the paper exists and try to find it manually","Direct export from publisher (IEEE/ACM)","Only for critical claims","Yes, if necessary","Somewhat agree","Yes, carefully","Missing key related work;Correctness of metadata (Year, Venue)","Occasionally","Yes","Sometimes","I check them using translation tools","Strongly agree","Not very effective","Critical crisis","Authors","Yes, absolutely","Strongly disagree","No, never","Yes","Yes","No","Reject the paper","Reject immediately (Ethical concern)","Yes, I would contact the PC Chairs or Journal Editors","Strongly agree","No",""
"2026/01/07 5:12:04 PM GMT+8","Yes, I consent to participate.","Researcher","Cryptography","1-5","No","Yes","","","","","","","","","","","","","","","","Writing the Introduction;Technical Description","Keyword search on Google Scholar/DBLP","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for specific difficult paragraphs","Summarization: Asking AI to summarize a paper to decide whether to cite it","I do not use General LLMs for finding references","Yes, I verify 100% of them via Google Scholar/DBLP","No, never","Strongly agree","I assume the paper exists and try to find it manually","Direct export from publisher (IEEE/ACM)","Most of the time","Yes, if necessary","Neutral","No","Missing key related work","Occasionally","No","Always","I check them using translation tools","Somewhat agree","Not very effective","Critical crisis","Authors","Maybe","Somewhat disagree","Yes, often","No","No","No","Mention it in minor comments","Reject immediately (Ethical concern)","No, I would verify it privately but take no action","Somewhat disagree","No",""
"2026/01/08 3:27:47 PM GMT+8","Yes, I consent to participate.","Other","Other","0","Yes","No","Literature Search & Review","Keyword search on Google Scholar/DBLP;Following citations from other papers","No","","","","","","","","","Direct export from publisher (IEEE/ACM)","Every single time","No, never","Strongly disagree","","","","","","","","","","","","","","","","","","","","","","Strongly agree","Ineffective","Critical crisis","Authors","Yes, absolutely","Strongly disagree","No, never","Yes","Yes","Yes","Ask for major revision","Reject immediately (Ethical concern)","Yes, I would contact the authors directly;Yes, I would contact the PC Chairs or Journal Editors","Strongly agree","No","AI is cancer"
"2026/01/08 4:12:43 PM GMT+8","Yes, I consent to participate.","Other","Software Engineering","0","No","No","Literature Search & Review","Keyword search on Google Scholar/DBLP;Following citations from other papers;Browsing conference proceedings","No","","","","","","","","","Direct export from publisher (IEEE/ACM)","Every single time","No, never","Strongly agree","","","","","","","","","","","","","","","","","","","","","","Somewhat agree","Not very effective","Major problem","Authors","Yes, absolutely","Strongly disagree","Yes, rarely","Yes","Yes","Yes","Mention it in minor comments","Reject immediately (Ethical concern)","Yes, I would contact the PC Chairs or Journal Editors;No, I would verify it privately but take no action","Somewhat disagree","No",""
"2026/01/08 6:59:26 PM GMT+8","Yes, I consent to participate.","Undergraduate student","Other","0","No","No","Conceptualization;Formatting References","Keyword search on Google Scholar/DBLP;Following citations from other papers;Using AI-powered tools (e.g., ChatGPT, Connected Papers)","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for specific difficult paragraphs","Formatting: Converting references into specific formats (e.g., BibTeX)","I do not use General LLMs for finding references","Yes, I verify 100% of them via Google Scholar/DBLP","No, never","Strongly agree","I ask the AI to provide a different link","Direct export from publisher (IEEE/ACM)","Every single time","No, never","Neutral","","","","","","","","","","","","","","","","","","","","","","Somewhat disagree","Somewhat effective","Minor nuisance","Authors","Yes, absolutely","Somewhat agree","No, never","No","Yes","Yes","Mention it in minor comments","Ask for explanation","No, I would verify it privately but take no action","Somewhat agree","No",""
"2026/01/09 4:44:02 PM GMT+8","Yes, I consent to participate.","PhD Student","System Security","1-5","No","No","Literature Search & Review;Writing the Introduction","Keyword search on Google Scholar/DBLP;Following citations from other papers;Browsing conference proceedings","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for specific difficult paragraphs","None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked)","Very Often (>50% of the time)","I only verify if I need to read the full text","No, never","Neutral","I assume the paper exists and try to find it manually","Google Scholar ""Cite"" button","Every single time","No, never","Strongly disagree","","","","","","","","","","","","","","","","","","","","","","Strongly agree","Not very effective","Critical crisis","Authors","Yes, absolutely","Neutral","No, never","No","No","Yes","Mention it in minor comments","Ask for explanation","Yes, I would contact the authors directly","Somewhat disagree","No",""
"2026/01/09 8:29:33 PM GMT+8","Yes, I consent to participate.","Faculty (Professor/Lecturer)","AI Security","20+","No","Yes","","","","","","","","","","","","Google Scholar ""Cite"" button","Every single time","No, never","Neutral","Conceptualization;Writing the Introduction;Technical Description","Keyword search on Google Scholar/DBLP","No","","","","","","","","","","","","","","","","","","","Strongly agree","Not very effective","Critical crisis","Authors","Yes, absolutely","Strongly disagree","No, never","Yes","Yes","Yes","Mention it in minor comments","Reject immediately (Ethical concern)","No, I would verify it privately but take no action","Neutral","No",""
"2026/01/09 9:10:51 PM GMT+8","Yes, I consent to participate.","Researcher","AI & Machine Learning","20+","No","Yes","","","","","","","","","","","","","","","","Writing the Introduction;Technical Description","Following citations from other papers","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for almost every sentence","Discovery: Asking AI to recommend papers on a specific topic","I do not use General LLMs for finding references","I only verify if I need to read the full text","No, never","Somewhat agree","I assume the paper exists and try to find it manually","Google Scholar ""Cite"" button","Every single time","Yes, if necessary","Neutral","Yes, skimming","Self-citation abuse;Missing key related work","Rarely","No","No","I assume they are valid","Somewhat agree","Not very effective","Major problem","Publishers (Editorial check)","Yes, absolutely","Somewhat agree","No, never","No","No","No","Mention it in minor comments","Reject immediately (Ethical concern)","No, I would ignore it","Strongly agree","No",""
"2026/01/10 1:25:00 AM GMT+8","Yes, I consent to participate.","Master's Student","AI & Machine Learning","1-5","No","Yes","","","","","","","","","","","","","","","","Conceptualization","Following citations from other papers","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs","Formatting: Converting references into specific formats (e.g., BibTeX)","I do not use General LLMs for finding references","Yes, I verify 100% of them via Google Scholar/DBLP","No, never","Somewhat agree","I keep the citation but remove the DOI","Google Scholar ""Cite"" button","Most of the time","No, never","Strongly disagree","No","Missing key related work","Rarely","No","No","I assume they are valid","Somewhat agree","Not very effective","Minor nuisance","Reviewers","Yes, absolutely","Strongly disagree","Yes, often","No","Yes","Yes","Mention it in minor comments","Reject immediately (Ethical concern)","Yes, I would contact the PC Chairs or Journal Editors","Somewhat agree","No",""
"2026/01/10 3:29:54 AM GMT+8","Yes, I consent to participate.","PhD Student","AI Security","6-10","No","Yes","","","","","","","","","","","","","","","","Conceptualization;Literature Search & Review","Browsing conference proceedings","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs","Discovery: Asking AI to recommend papers on a specific topic","I do not use General LLMs for finding references","Yes, I verify 100% of them via Google Scholar/DBLP","No, never","Strongly agree","I assume the paper exists and try to find it manually","Direct export from publisher (IEEE/ACM)","Every single time","No, never","Somewhat agree","Yes, carefully","Self-citation abuse;Missing key related work;Correctness of metadata (Year, Venue);Existence of the papers","Frequently","No","Always","I assume they are valid","Strongly agree","Not very effective","Major problem","Authors","Yes, absolutely","Strongly disagree","No, never","No","Yes","Yes","Mention it in minor comments","Ask for explanation","Yes, I would contact the authors directly","Strongly agree","No",""
"2026/01/10 4:09:30 AM GMT+8","Yes, I consent to participate.","PhD Student","AI Security","1-5","No","No","Conceptualization;Literature Search & Review","Keyword search on Google Scholar/DBLP;Following citations from other papers;Using AI-powered tools (e.g., ChatGPT, Connected Papers);Browsing conference proceedings","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for specific difficult paragraphs","Discovery: Asking AI to recommend papers on a specific topic;Summarization: Asking AI to summarize a paper to decide whether to cite it","Often (20-50%)","Yes, I verify 100% of them via Google Scholar/DBLP","Yes, once or twice","Somewhat agree","I assume the paper exists and try to find it manually","Direct export from publisher (IEEE/ACM)","Most of the time","Yes, if necessary","Neutral","","","","","","","","","","","","","","","","","","","","","","Somewhat agree","Somewhat effective","Critical crisis","Authors","Yes, absolutely","Somewhat disagree","Yes, rarely","Yes","No","Yes","Mention it in minor comments","Reject immediately (Ethical concern)","No, I would verify it privately but take no action","Somewhat disagree","No","In one of my papers, I used an AI tool to get two citations for a paragraph in my paper. Since the submission deadline was really close, I used those citations without verifying them. Later I understood that in one of them the name of the authors doesn't match the paper and fortunately I had time to fix the issue, but that was a good lesson for me to always verify the papers and their relevance."
"2026/01/10 6:35:07 AM GMT+8","Yes, I consent to participate.","PhD Student","AI & Machine Learning","1-5","No","Yes","","","","","","","","","","","","","","","","Literature Search & Review;Writing the Introduction;Technical Description","Using AI-powered tools (e.g., ChatGPT, Connected Papers)","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, but only for final proofreading","Discovery: Asking AI to recommend papers on a specific topic;Verification: Asking AI if a specific paper exists","Occasionally (<20%)","Yes, I verify 100% of them via Google Scholar/DBLP","No, never","Somewhat agree","I assume the paper exists and try to find it manually","Direct export from publisher (IEEE/ACM)","Every single time","Yes, if necessary","Somewhat disagree","Yes, skimming","Missing key related work;Existence of the papers","Frequently","No","Sometimes","I ignore them","Somewhat agree","Not very effective","Critical crisis","Authors","Yes, absolutely","Somewhat disagree","Yes, often","No","No","Yes","Mention it in minor comments","Ask for explanation","Yes, I would contact the PC Chairs or Journal Editors","Neutral","No",""
"2026/01/10 10:37:11 PM GMT+8","Yes, I consent to participate.","Postdoc","System Security","20+","No","Yes","","","","","","","","","","","","","","","","Literature Search & Review;Writing the Introduction","Following citations from other papers","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, but only for final proofreading","Formatting: Converting references into specific formats (e.g., BibTeX)","I do not use General LLMs for finding references","Yes, I verify 100% of them via Google Scholar/DBLP","No, never","Somewhat disagree","I assume the paper exists and try to find it manually","Google Scholar ""Cite"" button","Every single time","No, never","Somewhat agree","Yes, skimming","Missing key related work;Existence of the papers","Occasionally","No","Sometimes","I ignore them","Strongly agree","Not very effective","Major problem","Authors","Maybe","Strongly disagree","No, never","No","Yes","No","Mention it in minor comments","Reject immediately (Ethical concern)","Yes, I would contact the PC Chairs or Journal Editors","Somewhat agree","No",""
"2026/01/11 7:33:38 PM GMT+8","Yes, I consent to participate.","PhD Student","AI Security","1-5","No","No","Conceptualization;Technical Description","Keyword search on Google Scholar/DBLP;Following citations from other papers","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for almost every sentence","Summarization: Asking AI to summarize a paper to decide whether to cite it","I do not use General LLMs for finding references","Yes, I verify 100% of them via Google Scholar/DBLP","No, never","Strongly agree","I assume the paper exists and try to find it manually","Direct export from publisher (IEEE/ACM)","Every single time","Yes, if necessary","Somewhat agree","","","","","","","","","","","","","","","","","","","","","","Neutral","Ineffective","Minor nuisance","Authors","Yes, absolutely","Somewhat agree","Yes, often","No","No","Yes","Mention it in minor comments","Ask for explanation","No, I would verify it privately but take no action","Strongly disagree","No",""
"2026/01/12 1:33:31 AM GMT+8","Yes, I consent to participate.","PhD Student","Other","1-5","Yes","Yes","","","","","","","","","","","","Direct export from publisher (IEEE/ACM)","Every single time","No, never","Strongly disagree","Conceptualization;Literature Search & Review","Keyword search on Google Scholar/DBLP","No","","","","","","","","","","","","","","","","","","","Strongly agree","Somewhat effective","Critical crisis","Authors","Yes, absolutely","Somewhat disagree","No, never","Yes","Yes","No","Ask for major revision","Reject immediately (Ethical concern)","Yes, I would contact the PC Chairs or Journal Editors","Strongly agree","No",""
"2026/01/13 7:26:55 AM GMT+8","Yes, I consent to participate.","Researcher","Other","1-5","Yes","No","Conceptualization;Literature Search & Review","Keyword search on Google Scholar/DBLP;Following citations from other papers;Browsing conference proceedings","No","","","","","","","","","Google Scholar ""Cite"" button","Every single time","No, never","Neutral","","","","","","","","","","","","","","","","","","","","","","Somewhat agree","Very effective","Major problem","Authors","Yes, absolutely","Strongly disagree","No, never","No","Yes","Yes","Ask for major revision","Reject immediately (Ethical concern)","No, I would ignore it","Strongly agree","No","Comment for updating this questionnaire and making the questions not required. For instance, the question about using AI for research, with yes and no answers, was difficult to address. While I use grammar tools, I do not use the likes of ChatGPT for referencing, but the AI for referencing/literature review questions was required. That forced me to come back to select no,  to answer the opinion questions. Meanwhile, I use Grammarly, but where it was put with the required information made it difficult."
"2026/01/13 9:04:21 PM GMT+8","Yes, I consent to participate.","PhD Student","System Security","1-5","No","No","Conceptualization;Writing the Introduction","Keyword search on Google Scholar/DBLP;Following citations from other papers;Using AI-powered tools (e.g., ChatGPT, Connected Papers)","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for almost every sentence","Discovery: Asking AI to recommend papers on a specific topic","Very Often (>50% of the time)","Yes, I verify 100% of them via Google Scholar/DBLP","Yes, once or twice","Somewhat disagree","I assume the paper exists and try to find it manually","Direct export from publisher (IEEE/ACM)","Most of the time","No, never","Somewhat agree","","","","","","","","","","","","","","","","","","","","","","Somewhat agree","Ineffective","Major problem","Authors","Yes, absolutely","Strongly disagree","Yes, rarely","No","No","Yes","Mention it in minor comments","Ask for explanation","No, I would verify it privately but take no action","Strongly disagree","No","I primarily use DBLP for citations and assume that they are correct. Regarding questions 2 and 3 on this page, I didn't encounter any issues because I never explicitly checked the reference. I only check them if I am particularly interested in them, for personal reasons or because they support major claims of the paper."
"2026/01/15 7:27:14 AM GMT+8","Yes, I consent to participate.","Faculty (Professor/Lecturer)","AI & Machine Learning","20+","Yes","Yes","","","","","","","","","","","","","","","","Conceptualization","Following citations from other papers","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","No, I trust my own writing more","Discovery: Asking AI to recommend papers on a specific topic","I do not use General LLMs for finding references","Yes, I verify 100% of them via Google Scholar/DBLP","No, never","Neutral","I assume the paper is a hallucination and discard it immediately","Google Scholar ""Cite"" button","Every single time","No, never","Strongly disagree","Yes, skimming","Missing key related work;Existence of the papers","Occasionally","Yes","Sometimes","I check them using translation tools","Strongly agree","Somewhat effective","Major problem","Authors","Yes, absolutely","Neutral","No, never","Yes","Yes","Yes","Mention it in minor comments","Reject immediately (Ethical concern)","Yes, I would contact the PC Chairs or Journal Editors","Neutral","No",""
"2026/02/04 6:54:48 PM GMT+8","Yes, I consent to participate.","Researcher","Cryptography","20+","No","Yes","","","","","","","","","","","","","","","","Literature Search & Review;Formatting References","Following citations from other papers","Yes","General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","No, I trust my own writing more","Formatting: Converting references into specific formats (e.g., BibTeX);Summarization: Asking AI to summarize a paper to decide whether to cite it","Often (20-50%)","Yes, I verify 100% of them via Google Scholar/DBLP","Yes, frequently","Somewhat agree","I assume the paper is a hallucination and discard it immediately","Direct export from publisher (IEEE/ACM)","Most of the time","Yes, if necessary","Somewhat disagree","Yes, skimming","Missing key related work","Rarely","No","Sometimes","I assume they are valid","Somewhat agree","Not very effective","Minor nuisance","Authors","Maybe","Somewhat agree","Yes, rarely","No","Yes","Yes","Mention it in minor comments","Ask for explanation","No, I would verify it privately but take no action","Somewhat agree","No",""
