Conference,Year,Filename,Cite Title,Authors,Year,Venue,,,,Corrected Year,"Is Corrected 1£ºGhost, 0:Error"
USENIX,2024,119.pdf,Detail enhancement analysis based hardware Trojan detection using thermal maps,"Zhao Chen, Heming Wang, Yongkang Tang, and Ying Zhang",2018,Computer Applications In Engineering Education,,,,2018,1
USENIX,2023,105.pdf,Conducting usability researchwith computer users who are blind or visually impaired,Helen Keller and AFB Connects You.,2002,International Conference of California State UniversityNorthridge Technology and Persons with Disabilities,,,,2002,0
USENIX,2023,304.pdf,Deepip: Deep neural network intellectual property protection with passports,"Lixin Fan, Kam Woh Ng, Chee Seng Chan, and QiangYang",2021,IEEE Transactions on PatternAnalysis and Machine Intelligence,,,,2021,0
USENIX,2022,160.pdf,Scalable enclaves for modular applications,Heimdallr,2021,15th USENIX Symposium on Operating Systems De?sign and Implementation (OSDI 21),,,,-,1
USENIX,2022,170.pdf,Inferred model-based fuzzing,HyungSeok Han and Sang Kil Cha,2017, InProceedings of the ACM Conference on Computer and CommunicationsSecurity,,,,2017,0
USENIX,2022,031.pdf,Global measurement of DNS censorship,"P. Pearce, B. Jones, F. Li, R. Ensafi, N. Feamster,N. Weaver, and V. Paxson",2017,"USENIX Security, 2017",,,,2017,0
USENIX,2021,182.pdf,Lessig was right: Influences on Android permissions,"Jonathan Schubauer, David Argast, and L Jean Camp.",2018,"TPRC48: Research Conference on Communications,Information and Internet Policy",,,,2018,0
USENIX,2021,54.pdf,Co-opting Firewalls for TCP Reflected Amplification,"K. Bock, A. Alaraj, Y. Fax, K. Hurley, E. Wustrow, and D. Levin. ",2021,"USENIX Security, 2021",,,,2021,0
USENIX,2025,24_Page_504-521,Method based on data flow analysis to understanding binary program,Wu Zhi-Yong,2010,Computer Engineering and Applications,,,,2011,1
USENIX,2025,24_Page_504-521,Program understanding approach for binary code based on data flow analysis,Li Yong-Cheng,2010,Computer Engineering,,,,2011,1
USENIX,2025,17_Page_372-391,Improving the compositionality of word embeddings,Thijs Scheepers,,Science Park,,,,2018,1
