Conference,Year,Count,Domain
AAAI,2020,1864,AI
AAAI,2021,1961,AI
AAAI,2022,1624,AI
AAAI,2023,2021,AI
AAAI,2024,2865,AI
AAAI,2025,3486,AI
CCS,2020,147,Security
CCS,2021,224,Security
CCS,2022,286,Security
CCS,2023,290,Security
CCS,2024,414,Security
CCS,2025,395,Security
ICML,2020,1084,AI
ICML,2021,1180,AI
ICML,2022,1233,AI
ICML,2023,1828,AI
ICML,2024,2610,AI
ICML,2025,3257,AI
IJCAI,2020,778,AI
IJCAI,2021,721,AI
IJCAI,2022,862,AI
IJCAI,2023,846,AI
IJCAI,2024,1048,AI
IJCAI,2025,1280,AI
NDSS,2020,88,Security
NDSS,2021,86,Security
NDSS,2022,83,Security
NDSS,2023,94,Security
NDSS,2024,140,Security
NDSS,2025,211,Security
NeurIPS,2020,1898,AI
NeurIPS,2021,2334,AI
NeurIPS,2022,2834,AI
NeurIPS,2023,3540,AI
NeurIPS,2024,4494,AI
NeurIPS,2025,5287,AI
S&P,2020,103,Security
S&P,2021,110,Security
S&P,2022,148,Security
S&P,2023,198,Security
S&P,2024,261,Security
S&P,2025,253,Security
USENIX,2020,156,Security
USENIX,2021,246,Security
USENIX,2022,255,Security
USENIX,2023,416,Security
USENIX,2024,404,Security
USENIX,2025,438,Security
